Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
09/05/2020,"1,245","1,415",0,"2,362",0,0
30/09/2021,"2,351",983,18,"2,344",0,29
13/03/2022,"2,028","3,748",0,"5,191",0,21
24/09/2019,"19,105","12,898",479,"25,750","5,437",0
13/04/2020,747,664,0,"1,292",0,1
03/02/2020,"15,704","10,860",361,"22,332","1,158",0
16/12/2022,"12,338","9,598",175,"15,433",409,60
12/01/2023,"10,638","7,976",212,"13,777",0,69
29/09/2023,"11,992","11,516",235,"17,648",0,69
18/04/2021,"2,065","3,290",0,"4,619",0,30
08/05/2020,"4,052","2,305",58,"4,977",117,2
04/05/2023,"16,502","11,026",351,"19,604","5,281",91
18/09/2024,"16,776","11,300",383,"20,242","4,401",72
20/11/2019,"18,444","11,645",476,"24,190","5,700",1
18/06/2022,"2,948","4,648",0,"6,328",0,28
23/10/2022,"2,191","3,992",0,"5,284",0,9
07/11/2022,"13,382","8,603",257,"15,154","3,988",75
05/10/2021,"2,619","1,085",26,"2,647",0,22
05/04/2022,"14,132","8,463",285,"15,602","5,037",50
05/10/2020,"1,939","2,908",0,"4,165",0,23
08/11/2020,"1,897","2,846",0,"4,312",0,16
29/05/2021,"3,113","4,730",0,"6,304",0,28
24/12/2022,"2,789","3,713",0,"5,451",0,8
03/11/2020,"13,524","7,172",237,"13,918","5,160",66
17/04/2020,"3,181","2,355",56,"3,768",0,2
13/01/2020,"12,003","9,268",361,"18,173",0,0
22/03/2023,"17,377","11,267",365,"20,932","5,406",87
11/04/2024,"17,427","10,766",339,"20,120","5,269",81
03/09/2021,"2,269",897,20,"2,263",0,20
07/11/2023,"16,539","10,869",316,"19,710","5,143",66
15/04/2021,"11,963","8,963",296,"15,793",0,61
30/11/2021,"11,367","6,862",195,"12,653","4,084",48
09/10/2020,"9,448","6,380",191,"11,243",0,33
12/06/2021,"3,055","4,445",0,"6,054",0,23
19/12/2019,"14,879","10,504",358,"20,172",716,0
06/06/2022,"12,330","7,863",222,"13,727","4,404",49
12/07/2021,"14,136","8,295",268,"15,328","2,467",50
12/05/2020,"4,114","2,283",66,"5,166",893,0
20/11/2020,"13,285","8,413",188,"14,184","4,534",42
18/02/2021,"16,578","8,948",294,"17,583","5,881",109
23/07/2019,"19,392","12,180",461,"25,344","5,935",0
03/06/2021,"14,430","8,241",309,"15,403","5,020",66
19/04/2023,"12,722","10,390",357,"18,357",0,84
26/04/2023,"17,301","11,169",358,"20,868","5,566",94
05/01/2020,"1,451","2,165",0,"2,735",0,0
01/09/2023,"15,896","11,184",276,"19,307","4,443",67
07/06/2023,"16,016","10,469",398,"18,380","4,793",76
23/05/2020,"1,433","1,824",0,"3,077",0,0
30/07/2019,"19,887","12,553",457,"25,617","5,765",15
04/06/2021,"16,028","9,564",247,"16,553","5,433",57
01/08/2019,"19,950","12,601",459,"25,864","5,754",1
28/05/2022,"2,855","4,303",0,"6,034",0,11
30/08/2021,"1,996",729,22,"1,984",0,16
09/11/2021,"10,671","5,459",143,"10,233","4,732",38
17/06/2020,"9,614","5,065",136,"10,446","4,838",4
09/05/2022,"13,333","8,416",261,"14,670","4,528",53
05/06/2022,"1,704","2,837",0,"4,354",0,12
14/04/2022,"9,845","7,470",173,"12,618",0,83
06/10/2023,"12,318","10,541",260,"17,366",0,61
30/01/2024,"14,620","9,978",369,"17,664",170,72
08/01/2020,"10,981","8,488",331,"16,238",0,0
22/06/2024,"4,768","5,618",0,"8,056",1,24
22/08/2020,"2,036","2,846",0,"4,520",0,15
13/11/2023,"3,406","12,088",50,"5,273","1,124",22
01/06/2023,"15,850","10,345",334,"18,390","4,821",91
02/05/2020,"1,081","1,148",0,"2,062",0,2
20/02/2023,"16,230","11,061",334,"19,905","5,439",72
11/06/2022,"2,802","4,292",0,"5,975",0,22
19/10/2023,"16,900","11,259",308,"19,761","5,074",102
04/08/2019,"3,792","4,595",0,"6,009",0,0
09/02/2020,"2,536","3,509",0,"5,396",0,0
25/02/2020,"21,059","13,128",529,"28,340","6,634",0
